"datetime_UTC","datetime_MST","value","RANGE","NEGATIVE","SPIKE","FLAT","REMOVAL","DO_SPIKE","BUBBLE","PAR_NIGHT","reason","ANY_FLAG","variable"
2025-08-02 09:50:00,2025-08-02 03:50:00,4.826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 10:00:00,2025-08-02 04:00:00,5.154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 10:10:00,2025-08-02 04:10:00,5.498,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 10:20:00,2025-08-02 04:20:00,5.779,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 10:30:00,2025-08-02 04:30:00,6.114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 10:40:00,2025-08-02 04:40:00,6.469,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 10:50:00,2025-08-02 04:50:00,6.771,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 11:00:00,2025-08-02 05:00:00,7.009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 11:10:00,2025-08-02 05:10:00,10.882,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Spike > threshold; DO sudden change; DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-07 01:00:00,2025-08-06 19:00:00,13.503,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Spike > threshold; DO sudden change; DO bubble artifact",TRUE,"do_mgl_1m"
