"datetime","do_mgl_1m","do_sat_1m","do_mgl_14m","do_sat_14m","par_9m","temp_1m","temp_2m","temp_4m","temp_5m","temp_6m","temp_7m","temp_8m","temp_9m","temp_10m","temp_11m","temp_12m","temp_13m","temp_14m","atm_pressure_mbar","par_surface","temp_air","RH","wind_speed","gust_speed","wind_dir"
"2025-08-28 20:00:00",7.809,108.643948704379,0.044,0.509365773128198,0.4,14.981,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.0911111111111,13.9422222222222,11.152,10.0627777777778,8.97777777777778,8.29888888888889,7.68222222222222,7.161,726.838983904871,6.2,47.003,90.578,5.23,6.73,341.2
"2025-08-28 20:10:00",7.823,108.899903507104,0.045,0.520936621347553,-0.3,15.007,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.0911111111111,13.9422222222222,11.161,10.0627777777778,8.97777777777778,8.36555555555555,7.68222222222222,7.161,726.846752789112,1.2,47.275,89.673,4.47,6.73,339.7
"2025-08-28 20:20:00",7.894,109.811858888623,0.045,0.520873373751248,0.1,14.981,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.0911111111111,13.99,11.179,10.1119444444444,9.0275,8.33222222222222,7.68222222222222,7.161,726.933783235011,1.2,46.81,87.453,3,7.47,320.1
"2025-08-28 20:30:00",7.878,109.585589641263,0.045,0.520958305391474,-0.3,14.972,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.0911111111111,14.0218518518519,11.17,10.1611111111111,9.06064814814815,8.28222222222222,7.68222222222222,7.161,726.816919807994,1.2,46.233,90.968,1.5,3.74,345.4
"2025-08-28 20:40:00",7.811,108.652586915863,0.045,0.520822768670902,0.1,14.972,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.0911111111111,13.9581481481481,11.134,10.1611111111111,8.99435185185185,8.28222222222222,7.68222222222222,7.151,726.823521447225,1.2,46.463,91.749,2.24,4.47,9.8
"2025-08-28 20:50:00",7.768,108.061791544736,0.045,0.520755511471194,0.2,14.981,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.1391666666667,13.8941666666667,11.116,10.1611111111111,8.97777777777778,8.28222222222222,7.68222222222222,7.151,726.916088061593,1.2,46.193,91.434,2.24,4.47,355.2
"2025-08-28 21:00:00",7.76,107.887474592865,0.044,0.509177660400615,-0.1,14.955,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.1712037037037,13.8621296296296,11.107,10.1611111111111,8.99435185185185,8.28222222222222,7.69888888888889,7.151,726.923839846357,1.2,46.463,91.887,3,6.73,0
"2025-08-28 21:10:00",7.874,109.498665073642,0.045,0.520680242915521,0.2,14.972,14.9961111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.1071296296296,13.9262037037037,11.116,10.1611111111111,9.06064814814815,8.28222222222222,7.76555555555556,7.151,727.019709124777,1.2,46.308,93.321,3.74,5.97,352.4
"2025-08-28 21:20:00",7.817,108.64975298795,0.045,0.520737273463075,0.2,14.955,14.9961111111111,15.0911111111111,15.0436111111111,15.0911111111111,15.1391666666667,13.8941666666667,11.107,10.1611111111111,9.07722222222222,8.28222222222222,7.73222222222223,7.161,727.121132697984,1.2,46.463,93.696,3,6.73,355.2
"2025-08-28 21:30:00",7.836,108.896752506551,0.044,0.508843500530332,-0.1,14.955,14.9961111111111,15.0911111111111,14.9961111111111,15.0911111111111,15.1872222222222,13.8300925925926,11.134,10.1611111111111,9.06064814814815,8.28222222222222,7.66555555555556,7.142,727.232543859901,1.2,46.85,83.859,3,7.47,327.1
"2025-08-28 21:40:00",7.827,108.735497140851,0.044,0.508622031576653,0,14.938,14.9961111111111,15.0911111111111,14.9961111111111,15.0911111111111,15.1872222222222,13.7660185185185,11.152,10.1611111111111,8.99435185185185,8.28222222222222,7.59888888888889,7.123,727.20261557761,1.2,45.808,87.744,5.23,10.47,272.4
"2025-08-28 21:50:00",7.861,109.198351550489,0.045,0.520604987823855,0.1,14.929,14.9961111111111,15.0911111111111,14.9961111111111,15.0911111111111,15.1872222222222,13.7980555555556,11.143,10.1611111111111,8.97777777777778,8.23222222222222,7.58222222222222,7.151,727.123341607093,1.2,46.54,84.459,5.23,13.44,280.8
"2025-08-28 22:00:00",7.888,109.549479978665,0.045,0.520086863021506,0.1,14.921,14.9961111111111,15.0911111111111,14.9961111111111,15.0911111111111,15.1712037037037,13.8461111111111,11.152,10.1611111111111,8.97777777777778,8.19888888888889,7.58222222222222,7.113,727.153158458597,1.2,47.583,82.791,4.47,11.95,283.6
"2025-08-28 22:10:00",7.906,109.817821067779,0.045,0.519585744359241,-0.1,14.929,14.9961111111111,15.0911111111111,14.9961111111111,15.0911111111111,15.1071296296296,13.8461111111111,11.197,10.1611111111111,8.97777777777778,8.26555555555556,7.58222222222222,7.075,727.159764597646,1.2,47.815,85.823,3.74,8.97,328.5
"2025-08-28 22:20:00",7.882,109.528220601713,0.044,0.508294514118874,-0.2,14.946,14.9961111111111,15.0911111111111,14.9961111111111,15.0911111111111,15.0911111111111,13.8461111111111,11.188,10.1611111111111,8.97777777777778,8.23222222222222,7.58222222222222,7.094,727.142146139563,1.2,47.197,91.93,5.23,8.97,344
"2025-08-28 22:30:00",7.837,108.863097844683,0.046,0.531523896440452,0,14.929,14.9961111111111,15.0911111111111,14.9961111111111,15.0752777777778,15.0911111111111,13.8461111111111,11.188,10.1611111111111,8.97777777777778,8.16555555555556,7.58222222222222,7.103,727.135514638897,1.2,46.965,91.366,5.23,8.21,342.6
"2025-08-28 22:40:00",7.827,108.719509660806,0.045,0.520037741874403,0.1,14.921,14.9961111111111,15.0911111111111,14.9961111111111,15.0119444444444,15.0911111111111,13.8461111111111,11.17,10.1611111111111,8.97777777777778,8.09888888888889,7.58222222222222,7.103,727.040768592659,1.2,47.043,93.124,5.23,8.97,348.2
"2025-08-28 22:50:00",7.819,108.630775367191,0.045,0.519935438196882,-0.1,14.929,14.9480555555556,15.0436111111111,14.9961111111111,15.0436111111111,15.0911111111111,13.8941666666667,11.152,10.1611111111111,8.97777777777778,8.13222222222223,7.63222222222222,7.094,727.019709124777,1.2,46.308,93.013,4.47,7.47,336.9
"2025-08-28 23:00:00",7.725,107.355315876862,0.045,0.520330075986587,0,14.929,14.9,15.0119444444444,14.9961111111111,15.0752777777778,15.0911111111111,13.9262037037037,11.197,10.1611111111111,8.97777777777778,8.19888888888889,7.68222222222222,7.113,726.817982448461,1.2,46.27,92.665,4.47,7.47,344
"2025-08-28 23:10:00",7.885,109.506307201985,0.045,0.520430312890109,0,14.912,14.9,15.0752777777778,14.9961111111111,15.0119444444444,15.0911111111111,13.8621296296296,11.206,10.1611111111111,8.97777777777778,8.26555555555556,7.68222222222222,7.132,727.021948573253,1.2,46.386,93.462,4.47,8.21,342.6
"2025-08-28 23:20:00",7.877,109.350258656572,0.045,0.52103918062522,-0.1,14.895,14.9,15.0911111111111,14.9961111111111,14.9961111111111,15.0911111111111,13.8461111111111,11.188,10.1611111111111,8.97777777777778,8.28222222222222,7.68222222222222,7.18,727.047396000298,1.2,47.275,92.786,5.97,8.97,345.4
"2025-08-28 23:30:00",7.862,109.113915322916,0.045,0.520906256984147,0,14.895,14.9,15.0752777777778,14.9961111111111,14.9961111111111,15.0911111111111,13.8461111111111,11.224,10.1611111111111,8.96129629629629,8.28222222222222,7.68222222222222,7.18,727.230338897888,1.2,46.773,91.504,4.47,8.97,349.6
"2025-08-28 23:40:00",7.863,109.108501139047,0.044,0.508971034504657,0,14.886,14.9,15.0119444444444,14.9961111111111,14.9961111111111,15.0911111111111,13.8461111111111,11.233,10.1611111111111,8.89537037037037,8.28222222222222,7.68222222222222,7.151,727.214845843544,1.2,46.233,90.582,3,7.47,355.2
"2025-08-28 23:50:00",7.841,108.857972740025,0.044,0.508766744280733,-0.2,14.895,14.9,14.9961111111111,14.9961111111111,14.9961111111111,15.0911111111111,13.8941666666667,11.197,10.1611111111111,8.92833333333333,8.28222222222222,7.68222222222222,7.123,726.998639689607,1.2,45.576,94.716,3,5.97,352.4
"2025-08-29 00:00:00",7.799,108.235280461569,0.045,0.520842491689991,0.2,14.877,14.9,14.9961111111111,14.9961111111111,14.9961111111111,15.0911111111111,13.9262037037037,11.179,10.1611111111111,8.97777777777778,8.28222222222222,7.68222222222222,7.161,726.976285487293,1.2,44.803,96.208,3,5.23,1.4
"2025-08-29 00:10:00",7.779,107.996463051432,0.044,0.509221190486558,-0.1,14.886,14.9,14.9961111111111,14.9961111111111,14.9961111111111,15.0911111111111,13.8621296296296,11.188,10.1611111111111,8.97777777777778,8.28222222222222,7.68222222222222,7.151,726.862563436328,1.2,44.341,96.036,1.5,5.23,8.4
"2025-08-29 00:20:00",7.73,107.281420047478,0.044,0.509413564283032,0.3,14.877,14.9,14.9961111111111,14.9961111111111,14.9961111111111,15.0436111111111,13.8461111111111,11.197,10.21,9.0275,8.33222222222222,7.68222222222222,7.171,726.951608672739,1.2,43.954,96.551,1.5,3.74,2.8
"2025-08-29 00:30:00",7.7,106.855495081387,0.045,0.521007883935661,0,14.86,14.9,14.9961111111111,14.9961111111111,14.9961111111111,14.9961111111111,13.8621296296296,11.259,10.2425925925926,9.06064814814815,8.36555555555555,7.69888888888889,7.161,726.748718808563,1.2,43.876,96.616,1.5,3.74,4.2
