"sample_number","site_id","lake","site_type","sample_date","sample_type","method","result","sample_status","status","total_mc","toxin_richness","rr","yr","lr","la","dm_lr","ly","nod","lf","wr","atx","hatx","cyl","notes"
377,"BKS_BL_BU_DD","brooks","buoy_depth",2025-09-17,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
378,"BKS_UB_SH_08","upper brooks","shore",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",7.218274362,3,0.31393219,0,2.976724621,0,0,0,0,3.927617551,0,0,0,0,NA
379,"BKS_UB_SH_09","upper brooks","shore",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",2.337436546,2,0.373737525,0,1.963699021,0,0,0,0,0,0,0,0,0,NA
380,"BKS_UB_BU_SS","upper brooks","buoy_surface",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",9.130359134,2,1.148885522,0,7.981473612,0,0,0,0,0,0,0,0,0,NA
381,"BKS_UB_BU_DD","upper brooks","buoy_depth",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",23.32050441,1,0,0,23.32050441,0,0,0,0,0,0,0,0,0,NA
382,"BKS_RN_SH_10","rainbow","shore",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",89.061488618,2,0,0,84.25673695,0,4.804751668,0,0,0,0,0,0,0,NA
383,"BKS_RN_BU_SS","rainbow","buoy_surface",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",158.18591199,2,0,0,147.4968431,0,10.68906889,0,0,0,0,0,0,0,NA
384,"BKS_RN_BU_DD","rainbow","buoy_depth",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",146.676086676,2,0,0,142.7561043,0,3.919982376,0,0,0,0,0,0,0,NA
385,"BKS_LJ_BU_SS","lower jade","buoy_surface",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",44.3852806,1,0,0,44.3852806,0,0,0,0,0,0,0,0,0,NA
386,"BKS_LJ_BU_DD","lower jade","buoy_depth",2025-09-17,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
387,"BKS_UB_SH_08","upper brooks","shore",2025-09-17,"Duplicate","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,"BYS_BR_SH_01","boysen","shore",2025-09-16,"Regular","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,"BYS_PC_SH_02","boysen","shore",2025-09-16,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,"BYS_FR_SH_03","boysen","shore",2025-09-16,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,"BYS_CR_SH_04","boysen","shore",2025-09-16,"Regular","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,"Boysen Dup","boysen","blank",2025-09-16,"Duplicate","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,"SPATT_BLANK","blank","blank",2025-09-16,"Blank","SPATT",FALSE,"not_analyzed","Shipped",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,"BKS_BL_SH_01","brooks","shore",2025-09-16,"regular","GRAB",TRUE,"detected","Shipped",0.788072829,1,0,0,0,0,0.788072829,0,0,0,0,0,0,0,NA
395,"BKS_BL_SH_02","brooks","shore",2025-09-16,"regular","GRAB",TRUE,"detected","Shipped",1.660345757,1,0,0,0,0,1.660345757,0,0,0,0,0,0,0,NA
396,"BKS_BL_SH_03","brooks","shore",2025-09-16,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
397,"BKS_BL_SH_04","brooks","shore",2025-09-17,"regular","GRAB",TRUE,"detected","Shipped",14.01009453,1,0,0,0,0,14.01009453,0,0,0,0,0,0,0,NA
398,"BKS_BL_SH_05","brooks","shore",2025-09-17,"regular","GRAB",TRUE,"detected","Shipped",16.017995116,2,0,0,4.777281926,0,11.24071319,0,0,0,0,0,0,0,NA
399,"BKS_BL_SH_06","brooks","shore",2025-09-17,"regular","GRAB",TRUE,"detected","Shipped",12.04482413,1,0,0,0,0,12.04482413,0,0,0,0,0,0,0,NA
400,"BKS_BL_SH_07","brooks","shore",2025-09-17,"regular","GRAB",TRUE,"detected","Shipped",11.46504631,1,0,0,0,0,11.46504631,0,0,0,0,0,0,0,NA
401,"BKS_BL_BON","tributary","tributary",2025-09-17,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,"BKS_BL_CREEK","tributary","tributary",2025-09-17,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,"BKS_BL_BU_SS","brooks","buoy_surface",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
404,"BKS_BL_BU_DD","brooks","buoy_depth",2025-09-17,"regular","GRAB",TRUE,"detected","Shipped",1.713872963,1,0,0,0,0,1.713872963,0,0,0,0,0,0,0,NA
405,"BKS_UB_SH_08","upper brooks","shore",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
