sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,detected
158,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,spatt,anatoxin,FALSE
158,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
158,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,spatt,microcystin,TRUE
158,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,spatt,nodularin,TRUE
194,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,spatt,anatoxin,FALSE
194,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
194,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,spatt,microcystin,TRUE
194,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,spatt,nodularin,FALSE
195,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,spatt,anatoxin,FALSE
195,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
195,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,spatt,microcystin,FALSE
195,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,spatt,nodularin,FALSE
196,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,spatt,anatoxin,FALSE
196,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
196,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,spatt,microcystin,FALSE
196,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,spatt,nodularin,FALSE
197,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,spatt,anatoxin,FALSE
197,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
197,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,spatt,microcystin,FALSE
197,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,spatt,nodularin,FALSE
198,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,spatt,anatoxin,FALSE
198,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
198,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,spatt,microcystin,TRUE
198,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,spatt,nodularin,FALSE
199,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,spatt,anatoxin,FALSE
199,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
199,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,spatt,microcystin,FALSE
199,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,spatt,nodularin,FALSE
200,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,spatt,anatoxin,FALSE
200,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
200,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,spatt,microcystin,FALSE
200,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,spatt,nodularin,FALSE
203,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,spatt,anatoxin,FALSE
203,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,spatt,cylindrospermopsin,FALSE
203,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,spatt,microcystin,TRUE
203,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,spatt,nodularin,FALSE
204,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,spatt,anatoxin,FALSE
204,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,spatt,cylindrospermopsin,FALSE
204,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,spatt,microcystin,FALSE
204,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,spatt,nodularin,FALSE
205,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,spatt,anatoxin,FALSE
205,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,spatt,cylindrospermopsin,FALSE
205,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,spatt,microcystin,FALSE
205,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,spatt,nodularin,FALSE
