MiniDOT Logger Concatenated Data File
Sensor:             7450-987229
Concatenation Date: 2025Oct27 13:40:12 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1750871580,           2025-06-25 17:13:00,           2025-06-25 11:13:00,      3.500000,      4.567000,          0.092000,                     0.712389,      0.977000
                1750872180,           2025-06-25 17:23:00,           2025-06-25 11:23:00,      3.500000,      4.577000,          0.107000,                     0.828755,      0.977000
                1750872780,           2025-06-25 17:33:00,           2025-06-25 11:33:00,      3.500000,      4.577000,          0.105000,                     0.813264,      0.977000
                1750873380,           2025-06-25 17:43:00,           2025-06-25 11:43:00,      3.500000,      4.567000,          0.102000,                     0.789822,      0.977000
                1750873980,           2025-06-25 17:53:00,           2025-06-25 11:53:00,      3.500000,      4.567000,          0.093000,                     0.720132,      0.977000
                1750874580,           2025-06-25 18:03:00,           2025-06-25 12:03:00,      3.500000,      4.577000,          0.088000,                     0.681593,      0.977000
                1750875180,           2025-06-25 18:13:00,           2025-06-25 12:13:00,      3.500000,      4.557000,          0.094000,                     0.727686,      0.977000
                1750875780,           2025-06-25 18:23:00,           2025-06-25 12:23:00,      3.500000,      4.557000,          0.092000,                     0.712203,      0.977000
                1750876380,           2025-06-25 18:33:00,           2025-06-25 12:33:00,      3.500000,      4.577000,          0.088000,                     0.681593,      0.977000
                1750876980,           2025-06-25 18:43:00,           2025-06-25 12:43:00,      3.500000,      4.567000,          0.074000,                     0.573008,      0.976000
                1750877580,           2025-06-25 18:53:00,           2025-06-25 12:53:00,      3.500000,      4.577000,          0.063000,                     0.487958,      0.977000
                1750878180,           2025-06-25 19:03:00,           2025-06-25 13:03:00,      3.500000,      4.567000,          0.062000,                     0.480088,      0.976000
                1750878780,           2025-06-25 19:13:00,           2025-06-25 13:13:00,      3.500000,      4.587000,          0.062000,                     0.480338,      0.976000
                1750879380,           2025-06-25 19:23:00,           2025-06-25 13:23:00,      3.490000,      4.587000,          0.061000,                     0.472591,      0.976000
                1750879980,           2025-06-25 19:33:00,           2025-06-25 13:33:00,      3.490000,      4.597000,          0.062000,                     0.480463,      0.976000
                1750880580,           2025-06-25 19:43:00,           2025-06-25 13:43:00,      3.490000,      4.597000,          0.069000,                     0.534709,      0.977000
                1750881180,           2025-06-25 19:53:00,           2025-06-25 13:53:00,      3.490000,      4.567000,          0.066000,                     0.511061,      0.977000
                1750881780,           2025-06-25 20:03:00,           2025-06-25 14:03:00,      3.490000,      4.577000,          0.069000,                     0.534431,      0.977000
                1750882380,           2025-06-25 20:13:00,           2025-06-25 14:13:00,      3.490000,      4.587000,          0.072000,                     0.557812,      0.977000
                1750882980,           2025-06-25 20:23:00,           2025-06-25 14:23:00,      3.490000,      4.597000,          0.101000,                     0.782690,      0.977000
                1750883580,           2025-06-25 20:33:00,           2025-06-25 14:33:00,      3.490000,      4.577000,          0.078000,                     0.604139,      0.977000
                1750884180,           2025-06-25 20:43:00,           2025-06-25 14:43:00,      3.490000,      4.607000,          0.078000,                     0.604611,      0.977000
                1750884780,           2025-06-25 20:53:00,           2025-06-25 14:53:00,      3.490000,      4.587000,          0.074000,                     0.573307,      0.977000
                1750885380,           2025-06-25 21:03:00,           2025-06-25 15:03:00,      3.490000,      4.577000,          0.066000,                     0.511194,      0.976000
                1750885980,           2025-06-25 21:13:00,           2025-06-25 15:13:00,      3.490000,      4.577000,          0.063000,                     0.487958,      0.977000
                1750886580,           2025-06-25 21:23:00,           2025-06-25 15:23:00,      3.490000,      4.567000,          0.068000,                     0.526548,      0.977000
                1750887180,           2025-06-25 21:33:00,           2025-06-25 15:33:00,      3.490000,      4.557000,          0.073000,                     0.565118,      0.977000
                1750887780,           2025-06-25 21:43:00,           2025-06-25 15:43:00,      3.490000,      4.577000,          0.069000,                     0.534431,      0.977000
                1750888380,           2025-06-25 21:53:00,           2025-06-25 15:53:00,      3.490000,      4.557000,          0.079000,                     0.611566,      0.977000
                1750888980,           2025-06-25 22:03:00,           2025-06-25 16:03:00,      3.490000,      4.587000,          0.065000,                     0.503580,      0.977000
                1750889580,           2025-06-25 22:13:00,           2025-06-25 16:13:00,      3.490000,      4.567000,          0.061000,                     0.472345,      0.976000
                1750890180,           2025-06-25 22:23:00,           2025-06-25 16:23:00,      3.490000,      4.577000,          0.060000,                     0.464722,      0.977000
                1750890780,           2025-06-25 22:33:00,           2025-06-25 16:33:00,      3.490000,      4.577000,          0.059000,                     0.456977,      0.976000
                1750891380,           2025-06-25 22:43:00,           2025-06-25 16:43:00,      3.490000,      4.546000,          0.060000,                     0.464347,      0.977000
                1750891980,           2025-06-25 22:53:00,           2025-06-25 16:53:00,      3.490000,      4.546000,          0.061000,                     0.472086,      0.977000
                1750892580,           2025-06-25 23:03:00,           2025-06-25 17:03:00,      3.490000,      4.557000,          0.065000,                     0.503187,      0.977000
                1750893180,           2025-06-25 23:13:00,           2025-06-25 17:13:00,      3.490000,      4.567000,          0.063000,                     0.487831,      0.977000
                1750893780,           2025-06-25 23:23:00,           2025-06-25 17:23:00,      3.490000,      4.577000,          0.071000,                     0.549921,      0.977000
