date,wind_speed_mean_ms,wind_speed_max_ms,gust_speed_max_ms,wind_from_mean_deg,wind_from_mean,wind_to_mean_deg,wind_to_mean,dominant_wind_from,dominant_wind_to
2025-08-03,0.7211314000000001,2.3380192,6.0082176,227.88189509048453,SW,47.881895090484534,NE,S,N
2025-08-04,0.9416090444444445,3.0085792000000002,11.019535999999999,174.925427779232,S,354.925427779232,N,SE,NW
2025-08-05,1.4587163555555556,4.0099488,12.0209056,248.58857012970404,W,68.58857012970407,E,W,E
2025-08-06,0.9531575777777778,3.0085792000000002,9.3520768,216.12289930004246,SW,36.12289930004249,NE,SW,NE
2025-08-07,1.1681714,4.0099488,9.678415999999999,214.00044518872747,SW,34.00044518872744,NE,SW,NE
2025-08-08,1.6268530666666667,4.0099488,9.678415999999999,294.20995732544543,NW,114.20995732544543,SE,NW,SE
2025-08-09,1.1758083333333333,4.0099488,7.6801471999999995,271.97526234969337,W,91.97526234969337,E,NW,SE
2025-08-10,1.0442730222222223,3.0085792000000002,6.0082176,282.1349883645938,W,102.13498836459382,E,SW,NE
2025-08-11,0.8790855333333334,3.0085792000000002,7.0095871999999995,299.13097225905176,NW,119.13097225905176,SE,N,S
2025-08-12,0.8369892666666667,3.0085792000000002,6.6787776,217.54748854595798,SW,37.547488545958004,NE,S,N
2025-08-13,1.141349,4.3407584,17.3719744,244.8695075909103,SW,64.8695075909103,NE,S,N
2025-08-14,1.4223633111111111,7.6801471999999995,12.6914656,299.47840423235186,NW,119.47840423235186,SE,NW,SE
2025-08-15,0.9828981555555556,4.0099488,7.6801471999999995,239.86164758136192,SW,59.86164758136192,NE,SW,NE
2025-08-16,0.7428314666666667,2.3380192,6.347968,180.0236894869001,S,0.023689486900138945,N,S,N
2025-08-17,0.6935949777777778,4.0099488,8.3507072,219.51532637956655,SW,39.515326379566545,NE,S,N
2025-08-18,0.7843068444444445,2.6688288,7.0095871999999995,233.9440083180964,SW,53.944008318096394,NE,SW,NE
2025-08-19,0.6545410666666667,2.3380192,8.0198976,190.04882069567822,S,10.048820695678216,N,S,N
2025-08-20,1.0066471555555556,5.342128,9.3520768,43.516330546367385,NE,223.51633054636739,SW,E,W
2025-08-21,0.9551133777777778,3.0085792000000002,8.0198976,206.78817870349772,SW,26.788178703497692,NE,SE,NW
2025-08-22,0.8561436888888889,2.6688288,6.347968,187.08745376181145,S,7.087453761811446,N,S,N
2025-08-23,1.1300177777777778,4.3407584,8.3507072,148.54772604746688,SE,328.5477260474669,NW,SE,NW
2025-08-24,0.9066840444444445,3.6701984000000003,7.3493376,187.06613695125927,S,7.0661369512592955,N,S,N
2025-08-25,0.7540695555555555,3.0085792000000002,6.347968,166.6759602580736,S,346.6759602580736,N,S,N
2025-08-26,0.7236770444444445,1.9982688,5.6818784,145.83366839860616,SE,325.83366839860616,NW,SE,NW
2025-08-27,0.5616871333333333,1.9982688,4.6805088,196.481866839833,S,16.481866839833003,N,S,N
2025-08-28,0.6330272666666666,2.6688288,5.6818784,213.72501867472465,SW,33.72501867472465,NE,SW,NE
2025-08-29,1.7861731555555556,3.6701984000000003,7.6801471999999995,342.67068754816665,N,162.6706875481666,S,N,S
2025-08-30,1.263508888888889,3.3393888,6.6787776,312.13167059115364,NW,132.13167059115364,SE,NW,SE
2025-08-31,0.7006110222222223,2.3380192,6.0082176,306.31318616639487,NW,126.31318616639487,SE,N,S
2025-09-01,0.7053297777777778,2.3380192,5.6818784,191.05473041588203,S,11.054730415882034,N,S,N
2025-09-02,0.8067830222222222,3.0085792000000002,6.6787776,217.5479336482883,SW,37.547933648288335,NE,SE,NW
2025-09-03,0.7833444666666667,3.0085792000000002,7.3493376,248.3346645833401,W,68.3346645833401,E,NW,SE
2025-09-04,1.1117326,5.0113184,7.6801471999999995,261.9190746709171,W,81.9190746709171,E,SE,NW
2025-09-05,0.8555228,3.3393888,8.3507072,128.95322601231464,SE,308.95322601231464,NW,SE,NW
2025-09-06,0.8002326444444445,4.0099488,6.6787776,220.91936414638835,SW,40.919364146388375,NE,S,N
2025-09-07,0.9461725777777779,4.0099488,9.3520768,281.54772933761194,W,101.54772933761194,E,W,E
